Term	ES	NES	NP	FDR	FWER
HALLMARK_G2M_CHECKPOINT	-0.7301	-1.985	0.002	0.0271	0.038
HALLMARK_GLYCOLYSIS	-0.5342	-1.9641	0.0041	0.0159	0.043
HALLMARK_E2F_TARGETS	-0.7161	-1.8487	0.0041	0.0289	0.106
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.4354	-1.7412	0.0331	0.0527	0.221
HALLMARK_MYC_TARGETS_V2	-0.6047	-1.6835	0.0491	0.0622	0.287
HALLMARK_MYC_TARGETS_V1	-0.5198	-1.6819	0.074	0.0526	0.289
HALLMARK_MITOTIC_SPINDLE	-0.4799	-1.5679	0.0439	0.0934	0.456
HALLMARK_MTORC1_SIGNALING	-0.4126	-1.564	0.09	0.0833	0.458
HALLMARK_DNA_REPAIR	-0.3833	-1.5376	0.1297	0.0863	0.508
HALLMARK_SPERMATOGENESIS	-0.3707	-1.2493	0.1675	0.2664	0.849
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.2778	-1.1118	0.3004	0.3815	0.933
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.2356	-1.0863	0.3448	0.3783	0.943
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.2301	-0.8565	0.5585	0.6287	0.99
SECRETORY_PATHWAY	-0.1613	-0.6975	0.8911	0.7873	0.997
HALLMARK_PROTEIN_SECRETION	0.1396	0.5623	0.8368	0.9008	0.996
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.2015	0.66	0.8	0.8289	0.992
HALLMARK_PANCREAS_BETA_CELLS	0.2351	0.7111	0.868	0.7897	0.988
HALLMARK_PEROXISOME	0.1668	0.7465	0.8306	0.7657	0.985
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.3055	0.8439	0.574	0.6458	0.971
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.341	0.9187	0.5514	0.5626	0.959
HALLMARK_HYPOXIA	0.2564	0.9411	0.5191	0.5507	0.954
HALLMARK_KRAS_SIGNALING_DN	0.2556	0.9579	0.5434	0.5465	0.95
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3647	1.0341	0.4508	0.4708	0.931
HALLMARK_ALLOGRAFT_REJECTION	0.3776	1.0382	0.4366	0.4826	0.931
HALLMARK_UV_RESPONSE_UP	0.2449	1.093	0.3379	0.4339	0.915
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.3022	1.1127	0.2962	0.4254	0.907
HALLMARK_P53_PATHWAY	0.2835	1.117	0.3327	0.436	0.905
HALLMARK_NOTCH_SIGNALING	0.3785	1.1342	0.3394	0.4322	0.9
HALLMARK_HEDGEHOG_SIGNALING	0.3964	1.1493	0.2893	0.4286	0.892
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.3684	1.1881	0.2657	0.3993	0.877
HALLMARK_ANGIOGENESIS	0.4273	1.1934	0.2848	0.411	0.872
HALLMARK_XENOBIOTIC_METABOLISM	0.3048	1.2101	0.2052	0.4079	0.865
HALLMARK_COAGULATION	0.3597	1.2473	0.1777	0.3796	0.833
HALLMARK_APICAL_JUNCTION	0.3553	1.2652	0.2017	0.3777	0.817
HALLMARK_FATTY_ACID_METABOLISM	0.2934	1.2937	0.1702	0.3613	0.803
HALLMARK_IL2_STAT5_SIGNALING	0.3805	1.2947	0.1838	0.3819	0.8
HALLMARK_KRAS_SIGNALING_UP	0.4139	1.3318	0.1342	0.3558	0.769
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.4699	1.342	0.2136	0.3646	0.758
HALLMARK_ANDROGEN_RESPONSE	0.3633	1.3479	0.1682	0.3827	0.751
HALLMARK_APOPTOSIS	0.3547	1.35	0.1604	0.4113	0.75
HALLMARK_APICAL_SURFACE	0.4535	1.3964	0.0911	0.3726	0.71
HALLMARK_COMPLEMENT	0.4092	1.4229	0.118	0.3623	0.677
HALLMARK_HEME_METABOLISM	0.3313	1.4321	0.0467	0.3857	0.667
HALLMARK_UV_RESPONSE_DN	0.4623	1.4435	0.0848	0.4128	0.654
HALLMARK_INFLAMMATORY_RESPONSE	0.5354	1.525	0.0932	0.3138	0.535
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.5312	1.539	0.1113	0.3413	0.519
HALLMARK_BILE_ACID_METABOLISM	0.4249	1.5652	0.0261	0.3543	0.479
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.4569	1.6413	0.0416	0.2782	0.371
HALLMARK_MYOGENESIS	0.4894	1.6789	0.0132	0.2779	0.308
HALLMARK_TGF_BETA_SIGNALING	0.5343	1.692	0.0382	0.374	0.292
HALLMARK_ADIPOGENESIS	0.3966	1.7396	0.0193	0.5172	0.231
