samples	Cluster
GSM1465989	C1
GSM1465995	C1
GSM748053	C1
GSM748054	C1
GSM748055	C1
GSM748056	C1
GSM748057	C1
GSM748058	C1
GSM748062	C1
GSM748064	C1
GSM748069	C1
GSM748071	C1
GSM748073	C1
GSM748074	C1
GSM748075	C1
GSM748077	C1
GSM748078	C1
GSM748079	C1
GSM748080	C1
GSM748081	C1
GSM748083	C1
GSM748084	C1
GSM748085	C1
GSM748086	C1
GSM748087	C1
GSM748089	C1
GSM748090	C1
GSM748093	C1
GSM748094	C1
GSM748095	C1
GSM748096	C1
GSM748099	C1
GSM748100	C1
GSM748101	C1
GSM748102	C1
GSM748103	C1
GSM748104	C1
GSM748105	C1
GSM748108	C1
GSM748109	C1
GSM748111	C1
GSM748116	C1
GSM748121	C1
GSM748122	C1
GSM748124	C1
GSM748125	C1
GSM748126	C1
GSM748127	C1
GSM748128	C1
GSM748130	C1
GSM748131	C1
GSM748132	C1
GSM748133	C1
GSM748135	C1
GSM748137	C1
GSM748139	C1
GSM748140	C1
GSM748141	C1
GSM748142	C1
GSM748143	C1
GSM748146	C1
GSM748147	C1
GSM748150	C1
GSM748151	C1
GSM748152	C1
GSM748157	C1
GSM748161	C1
GSM748162	C1
GSM748164	C1
GSM748165	C1
GSM748166	C1
GSM748167	C1
GSM748169	C1
GSM748170	C1
GSM748171	C1
GSM748173	C1
GSM748174	C1
GSM748175	C1
GSM748179	C1
GSM748180	C1
GSM748181	C1
GSM748183	C1
GSM748186	C1
GSM748187	C1
GSM748188	C1
GSM748189	C1
GSM748191	C1
GSM748198	C1
GSM748211	C1
GSM748220	C1
GSM748221	C1
GSM748222	C1
GSM748223	C1
GSM748224	C1
GSM748225	C1
GSM748226	C1
GSM748227	C1
GSM748228	C1
GSM748240	C1
GSM748243	C1
GSM748252	C1
GSM748259	C1
GSM748260	C1
GSM748261	C1
GSM748262	C1
GSM748263	C1
GSM748264	C1
GSM748266	C1
GSM748267	C1
GSM748268	C1
GSM748269	C1
GSM748270	C1
GSM748272	C1
GSM748273	C1
GSM748274	C1
GSM748275	C1
GSM748277	C1
GSM748278	C1
GSM748280	C1
GSM748315	C1
GSM748316	C1
GSM748337	C1
GSM748344	C1
GSM748345	C1
GSM748346	C1
GSM748352	C1
GSM748355	C1
GSM748357	C1
GSM748364	C1
GSM748366	C1
GSM1465991	C2
GSM1465996	C2
GSM1465997	C2
GSM1465999	C2
GSM748059	C2
GSM748063	C2
GSM748067	C2
GSM748072	C2
GSM748091	C2
GSM748092	C2
GSM748113	C2
GSM748144	C2
GSM748148	C2
GSM748160	C2
GSM748202	C2
GSM748209	C2
GSM748210	C2
GSM748212	C2
GSM748213	C2
GSM748215	C2
GSM748239	C2
GSM748242	C2
GSM748244	C2
GSM748245	C2
GSM748246	C2
GSM748247	C2
GSM748248	C2
GSM748249	C2
GSM748250	C2
GSM748251	C2
GSM748253	C2
GSM748254	C2
GSM748255	C2
GSM748256	C2
GSM748257	C2
GSM748258	C2
GSM748265	C2
GSM748271	C2
GSM748276	C2
GSM748279	C2
GSM748288	C2
GSM748291	C2
GSM748294	C2
GSM748297	C2
GSM748298	C2
GSM748299	C2
GSM748300	C2
GSM748304	C2
GSM748307	C2
GSM748310	C2
GSM748311	C2
GSM748314	C2
GSM748317	C2
GSM748320	C2
GSM748323	C2
GSM748326	C2
GSM748327	C2
GSM748328	C2
GSM748329	C2
GSM748333	C2
GSM748335	C2
GSM748336	C2
GSM748338	C2
GSM748341	C2
GSM748343	C2
GSM748348	C2
GSM748349	C2
GSM748350	C2
GSM748353	C2
GSM748358	C2
GSM748359	C2
GSM748362	C2
GSM748365	C2
