Term	ES	NES	NP	FDR	FWER
KEGG_SPLICEOSOME	-0.6459	-2.253	0	0	0
KEGG_RNA_DEGRADATION	-0.5985	-2.124	0	0	0
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.6333	-2.0322	0.0021	0.0039	0.014
KEGG_OOCYTE_MEIOSIS	-0.5578	-1.8821	0	0.0179	0.075
KEGG_NUCLEOTIDE_EXCISION_REPAIR	-0.61	-1.8809	0.0081	0.0143	0.075
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.6767	-1.874	0.002	0.0129	0.078
KEGG_CELL_CYCLE	-0.7378	-1.7834	0	0.0287	0.184
KEGG_RNA_POLYMERASE	-0.5475	-1.752	0.0241	0.0337	0.239
KEGG_MISMATCH_REPAIR	-0.7784	-1.7455	0	0.0322	0.26
KEGG_BASE_EXCISION_REPAIR	-0.6256	-1.7082	0.0042	0.0418	0.352
KEGG_DNA_REPLICATION	-0.8208	-1.6752	0	0.0526	0.424
KEGG_PYRIMIDINE_METABOLISM	-0.4398	-1.6621	0.0144	0.0538	0.455
KEGG_HOMOLOGOUS_RECOMBINATION	-0.7113	-1.6525	0.0106	0.0547	0.481
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	-0.3563	-1.6495	0.0362	0.0523	0.491
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-0.499	-1.6336	0.0062	0.0559	0.537
KEGG_ONE_CARBON_POOL_BY_FOLATE	-0.6181	-1.6308	0.0225	0.0535	0.543
KEGG_PROTEASOME	-0.499	-1.63	0.0753	0.0505	0.544
KEGG_P53_SIGNALING_PATHWAY	-0.5747	-1.4738	0.0514	0.1751	0.913
KEGG_LYSINE_DEGRADATION	-0.4217	-1.3932	0.0958	0.2863	0.97
KEGG_RIBOSOME	-0.3525	-1.3716	0.1588	0.3082	0.977
KEGG_HUNTINGTONS_DISEASE	-0.2501	-1.3026	0.1543	0.4298	0.993
KEGG_PURINE_METABOLISM	-0.3104	-1.2826	0.0862	0.4525	0.996
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.3793	-1.2093	0.2189	0.598	0.999
KEGG_STEROID_BIOSYNTHESIS	-0.5024	-1.2004	0.2278	0.5942	0.999
KEGG_NON_HOMOLOGOUS_END_JOINING	-0.4185	-1.1813	0.2675	0.6175	0.999
KEGG_COLORECTAL_CANCER	-0.3313	-1.1691	0.2171	0.6225	0.999
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	-0.4115	-1.1565	0.2182	0.6294	0.999
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	-0.5375	-1.1343	0.3108	0.6591	1
KEGG_PROTEIN_EXPORT	-0.3224	-1.0471	0.4004	0.8551	1
KEGG_PARKINSONS_DISEASE	-0.2639	-1.0228	0.4288	0.891	1
KEGG_REGULATION_OF_AUTOPHAGY	-0.2798	-0.9929	0.4239	0.9388	1
KEGG_FOLATE_BIOSYNTHESIS	-0.4183	-0.9906	0.4525	0.9158	1
KEGG_SMALL_CELL_LUNG_CANCER	-0.3403	-0.9894	0.482	0.8916	1
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	-0.3653	-0.9885	0.4748	0.8675	1
