Term,ES,NES,NP,FDR,FWER
KEGG_OOCYTE_MEIOSIS,-0.6296,-2.3903,0,0.0014,0.001
KEGG_CELL_CYCLE,-0.7567,-2.2798,0,0.0014,0.001
KEGG_P53_SIGNALING_PATHWAY,-0.6069,-2.1344,0,0.0074,0.011
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,-0.5861,-2.0729,0,0.0122,0.023
KEGG_SPLICEOSOME,-0.5595,-2.0123,0,0.0194,0.04
KEGG_NUCLEOTIDE_EXCISION_REPAIR,-0.6433,-2.0104,0,0.0165,0.041
KEGG_RNA_DEGRADATION,-0.5566,-1.9718,0,0.0212,0.062
KEGG_PYRIMIDINE_METABOLISM,-0.5287,-1.9531,0.0041,0.0214,0.076
KEGG_HOMOLOGOUS_RECOMBINATION,-0.8044,-1.9508,0,0.0193,0.077
KEGG_DNA_REPLICATION,-0.8554,-1.9266,0,0.0234,0.1
KEGG_MISMATCH_REPAIR,-0.7825,-1.8878,0,0.0299,0.14
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,-0.4486,-1.858,0.002,0.0344,0.181
KEGG_BASE_EXCISION_REPAIR,-0.6365,-1.851,0.004,0.0346,0.199
KEGG_ONE_CARBON_POOL_BY_FOLATE,-0.692,-1.8312,0.002,0.0384,0.231
KEGG_BASAL_TRANSCRIPTION_FACTORS,-0.5692,-1.82,0.0041,0.0402,0.253
KEGG_PURINE_METABOLISM,-0.3903,-1.7245,0.0061,0.0921,0.464
KEGG_LYSINE_DEGRADATION,-0.5255,-1.7069,0.01,0.0994,0.5
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,-0.4831,-1.6787,0.0101,0.1181,0.578
KEGG_PANCREATIC_CANCER,-0.4731,-1.6777,0.0062,0.1123,0.579
KEGG_SMALL_CELL_LUNG_CANCER,-0.4976,-1.6642,0.0041,0.1186,0.605
KEGG_NON_HOMOLOGOUS_END_JOINING,-0.6285,-1.6481,0.0181,0.1275,0.641
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,-0.5753,-1.6037,0.0488,0.1631,0.732
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,-0.5273,-1.5219,0.0487,0.2231,0.855
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.6048,1.5284,0.0224,0.6082,0.836
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.5618,1.6234,0.0233,0.376,0.672
KEGG_ASTHMA,0.7571,1.6346,0.021,0.433,0.643
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.6142,1.6472,0.0239,0.5267,0.622
KEGG_LINOLEIC_ACID_METABOLISM,0.6973,1.8653,0.0019,0.1022,0.153
KEGG_ARACHIDONIC_ACID_METABOLISM,0.6287,1.8754,0,0.1897,0.144
