geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
hsa04110	Cell cycle	http://www.kegg.jp/kegg-bin/show_pathway?hsa04110+1029+1111+4085+4171+5347+6502+701+7272+8317+8318+890+891+9134+9232+9700+983+990+991	115	18	1.70247337064452	10.5728525980912	2.57571741713036e-14	7.67563790304848e-12	1029;1111;4085;4171;5347;6502;701;7272;8317;8318;890;891;9134;9232;9700;983;990;991	MCM2;CCNE2;CHEK1;MAD2L1;SKP2;CDC45;CDC7;CDK1;CCNB1;BUB1B;TTK;ESPL1;CCNA2;PTTG1;PLK1;CDC20;CDC6;CDKN2A	pathway_KEGG
hsa04114	Oocyte meiosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04114+26271+4085+5347+891+9134+9232+9700+983+991	101	9	1.49521574291388	6.01919826128954	1.51415161374624e-05	0.0022560859044819	26271;4085;5347;891;9134;9232;9700;983;991	FBXO5;CCNE2;MAD2L1;CDK1;CCNB1;ESPL1;PTTG1;PLK1;CDC20	pathway_KEGG
hsa04115	p53 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04115+1029+1111+5366+6241+891+9134+983	66	7	0.97707167358729	7.16426459719143	4.63488154052172e-05	0.00460398233025157	1029;1111;5366;6241;891;9134;983	CCNE2;CHEK1;CDK1;CCNB1;RRM2;CDKN2A;PMAIP1	pathway_KEGG
GO:0007346	regulation of mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0007346	481	40	8.10754066042385	4.93367861788914	0	0	429;701;890;891;983;990;991;1062;1063;1111;2146;3161;3832;4085;4288;4751;5347;7153;7272;8317;8318;9134;9212;9232;9319;9700;9735;9787;9928;10403;10733;11065;11130;22974;26271;51203;51514;54443;113130;144455	FBXO5;E2F7;CENPF;CCNE2;CHEK1;DTL;NEK2;NUSAP1;KIF14;MAD2L1;CDCA5;CDC45;CDC7;NDC80;CDK1;PLK4;CCNB1;BUB1B;AURKB;TPX2;TTK;ESPL1;CCNA2;MKI67;TOP2A;KIF11;ZWINT;KNTC1;PTTG1;DLGAP5;PLK1;CDC20;EZH2;CDC6;UBE2C;HMMR;CENPE;TRIP13;ANLN;ASCL1	geneontology_Biological_Process
GO:0051301	cell division	http://amigo.geneontology.org/amigo/term/GO:0051301	463	54	7.80413997042878	6.91940434238945	0	0	332;701;890;891;983;990;991;1062;1063;3070;3832;4085;4751;5080;5347;7153;7704;8317;9055;9134;9212;9232;9493;9700;9735;9928;10112;10403;10592;10615;11004;11065;11130;11339;22974;23397;24137;26271;27338;29127;51203;54443;54892;55143;55165;57405;64151;83461;83540;83990;113130;144455;220134;259266	FBXO5;SPC25;SKA1;E2F7;CENPF;BRIP1;CCNE2;SMC2;CDCA8;KIF2C;HELLS;NEK2;ASPM;NUSAP1;KIF14;MAD2L1;OIP5;CDCA5;CDC7;NDC80;CDK1;NCAPH;NCAPG;CDCA3;RACGAP1;CCNB1;BUB1B;NUF2;AURKB;TPX2;SPAG5;NCAPG2;KIF23;BIRC5;UBE2S;ESPL1;CCNA2;TOP2A;KIF11;ZWINT;KNTC1;PRC1;PTTG1;PLK1;CDC20;KIF4A;KIF20A;CDC6;UBE2C;CENPE;PAX6;ANLN;CEP55;ZBTB16	geneontology_Biological_Process
GO:0044770	cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:0044770	443	44	7.46702809265648	5.89257191134344	0	0	701;890;891;983;990;991;1029;1033;1062;1063;1111;2146;2305;3161;4085;4171;4751;5347;5427;6241;6502;7272;7298;8317;8318;9134;9212;9319;9700;9735;9787;9833;9928;10403;10733;11065;22974;26271;27338;51514;54443;55388;113130;144455	FBXO5;MCM2;E2F7;CENPF;CCNE2;TYMS;CHEK1;DTL;NEK2;KIF14;MAD2L1;SKP2;CDCA5;CDC45;CDC7;NDC80;CDK1;PLK4;CCNB1;BUB1B;AURKB;TPX2;UBE2S;TTK;ESPL1;FOXM1;CCNA2;KNTC1;MCM10;MELK;DLGAP5;PLK1;CDC20;EZH2;POLE2;CDKN3;CDC6;UBE2C;HMMR;CENPE;RRM2;TRIP13;ANLN;CDKN2A	geneontology_Biological_Process
GO:0044772	mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:0044772	416	43	7.01192705766387	6.1324083445794	0	0	701;890;891;983;990;991;1029;1033;1062;1063;2146;2305;3161;4085;4171;4751;5347;5427;6241;6502;7272;7298;8317;8318;9134;9212;9319;9700;9735;9787;9833;9928;10403;10733;11065;22974;26271;27338;51514;54443;55388;113130;144455	FBXO5;MCM2;E2F7;CENPF;CCNE2;TYMS;DTL;NEK2;KIF14;MAD2L1;SKP2;CDCA5;CDC45;CDC7;NDC80;CDK1;PLK4;CCNB1;BUB1B;AURKB;TPX2;UBE2S;TTK;ESPL1;FOXM1;CCNA2;KNTC1;MCM10;MELK;DLGAP5;PLK1;CDC20;EZH2;POLE2;CDKN3;CDC6;UBE2C;HMMR;CENPE;RRM2;TRIP13;ANLN;CDKN2A	geneontology_Biological_Process
GO:0048285	organelle fission	http://amigo.geneontology.org/amigo/term/GO:0048285	322	49	5.42750123213406	9.02809560132215	0	0	701;890;891;990;991;1062;1063;1111;3832;4085;4288;4605;4751;5347;7153;7272;9055;9134;9212;9232;9319;9493;9700;9735;9787;9928;10403;10592;10615;11004;11065;11130;22974;23397;24137;25788;26271;27338;29127;51203;54443;55143;55165;64151;81930;83540;83990;113130;259266	FBXO5;CENPF;BRIP1;CCNE2;SMC2;CDCA8;KIF2C;KIF18A;CHEK1;NEK2;ASPM;NUSAP1;KIF14;MAD2L1;CDCA5;NDC80;NCAPH;NCAPG;RACGAP1;CCNB1;BUB1B;NUF2;AURKB;TPX2;SPAG5;KIF23;UBE2S;TTK;MYBL2;ESPL1;RAD54B;CCNA2;MKI67;TOP2A;KIF11;ZWINT;KNTC1;PRC1;PTTG1;DLGAP5;PLK1;CDC20;KIF4A;CDC6;UBE2C;CENPE;TRIP13;ANLN;CEP55	geneontology_Biological_Process
GO:0000280	nuclear division	http://amigo.geneontology.org/amigo/term/GO:0000280	302	49	5.09038935436176	9.62598272723752	0	0	701;890;891;990;991;1062;1063;1111;3832;4085;4288;4605;4751;5347;7153;7272;9055;9134;9212;9232;9319;9493;9700;9735;9787;9928;10403;10592;10615;11004;11065;11130;22974;23397;24137;25788;26271;27338;29127;51203;54443;55143;55165;64151;81930;83540;83990;113130;259266	FBXO5;CENPF;BRIP1;CCNE2;SMC2;CDCA8;KIF2C;KIF18A;CHEK1;NEK2;ASPM;NUSAP1;KIF14;MAD2L1;CDCA5;NDC80;NCAPH;NCAPG;RACGAP1;CCNB1;BUB1B;NUF2;AURKB;TPX2;SPAG5;KIF23;UBE2S;TTK;MYBL2;ESPL1;RAD54B;CCNA2;MKI67;TOP2A;KIF11;ZWINT;KNTC1;PRC1;PTTG1;DLGAP5;PLK1;CDC20;KIF4A;CDC6;UBE2C;CENPE;TRIP13;ANLN;CEP55	geneontology_Biological_Process
GO:0140014	mitotic nuclear division	http://amigo.geneontology.org/amigo/term/GO:0140014	233	45	3.92735337604731	11.4580980347865	0	0	701;890;891;990;991;1062;1063;1111;3832;4085;4288;4605;4751;5347;7272;9055;9134;9212;9232;9319;9493;9700;9735;9787;9928;10403;10592;10615;11004;11065;11130;22974;23397;24137;26271;27338;29127;51203;54443;55143;55165;64151;81930;83540;113130	FBXO5;CENPF;CCNE2;SMC2;CDCA8;KIF2C;KIF18A;CHEK1;NEK2;NUSAP1;KIF14;MAD2L1;CDCA5;NDC80;NCAPH;NCAPG;RACGAP1;CCNB1;BUB1B;NUF2;AURKB;TPX2;SPAG5;KIF23;UBE2S;TTK;MYBL2;ESPL1;CCNA2;MKI67;KIF11;ZWINT;KNTC1;PRC1;PTTG1;DLGAP5;PLK1;CDC20;KIF4A;CDC6;UBE2C;CENPE;TRIP13;ANLN;CEP55	geneontology_Biological_Process
