,logFC,AveExpr,t,P.Value,adj.P.Val,B
ORC1,-0.368684187315302,2.51826838631979,-18.9732608810737,6.80479926141578e-47,5.55033451757378e-43,96.0274597033925
EXO1,-0.420514724344502,2.84111720538642,-18.5336322146038,1.40967804481442e-45,7.6653593150192e-42,93.0288111957538
FBXO5,-0.358357280062183,2.95238444804844,-17.6340503349136,7.371976347375e-43,1.71798643078183e-39,86.833739809686
SPC25,-0.565405179302209,2.63237514556188,-17.365944100525,4.82820894117308e-42,9.84532155716956e-39,84.9731930016769
SKA1,-0.49080796725905,2.47250460485419,-17.1735520931063,1.86662363571263e-41,3.36238607209066e-38,83.6343676631221
MCM2,-0.352305651257176,3.24473879183,-17.1169476607609,2.78022896051353e-41,4.12307954844156e-38,83.2398980934109
RFC4,-0.31372945727084,3.26300484185494,-17.0531048882415,4.35871156594501e-41,5.46951244425084e-38,82.7946824799662
FEN1,-0.271654885355542,3.18464499875767,-17.042104513515,4.70997772887412e-41,5.48813333508025e-38,82.7179378795327
RNASEH2A,-0.281593107818365,3.20559132422869,-16.9529831590704,8.82819909442554e-41,9.23152204277554e-38,82.0958354028212
E2F7,-0.369180517163504,2.66914047951631,-16.9493961477456,9.05439543213441e-41,9.23152204277554e-38,82.0707839473044
CENPF,-0.391424596248245,2.69608586654516,-16.7041273818235,5.11797345772785e-40,4.9111471185832e-37,80.3555791993198
BRIP1,-0.409423369915846,2.62553545816516,-16.68684272051,5.78335194816979e-40,4.97183232912685e-37,80.2345403676279
ARHGAP11A,-0.353051024701845,2.3052114726402,-16.4468576469289,3.16287511498217e-39,2.24330355437844e-36,78.5518717335547
CCNE2,-0.514852258262082,2.85086813691459,-16.4022638991538,4.33888506009056e-39,2.94917633271905e-36,78.2387753950792
ZNF367,-0.366586448182244,2.91977118136974,-16.2072176244793,1.73188565365411e-38,1.00900895243069e-35,76.8678554332239
SMC2,-0.275661236428729,2.88100167433314,-16.1394603031531,2.80272961289405e-38,1.57658373017727e-35,76.3910650566196
PSRC1,-0.32262131123242,2.94563423124618,-16.1092500245273,3.47400616712385e-38,1.88904875347638e-35,76.1783959858057
TYMS,-0.28799483359609,3.02333567702575,-16.0337834077065,5.94113122270036e-38,3.12637656890035e-35,75.6469092725754
CDCA8,-0.315337560673833,3.03396301275152,-15.8159975408519,2.79982633444617e-37,1.3433402057006e-34,74.1113550775062
STIL,-0.361476054218507,2.95803484363285,-15.7668844840593,3.9728699752723e-37,1.85169794018906e-34,73.7647281242679
RAD54L,-0.292841802146775,2.86141184360271,-15.7487052395153,4.52241446803387e-37,2.0492818671399e-34,73.636393265169
KIF2C,-0.389164014199705,2.97928992769113,-15.7234531999087,5.41425369094054e-37,2.38710055298143e-34,73.4581016265557
FANCI,-0.300423911306894,2.88746050431352,-15.7150678239002,5.74776008875927e-37,2.42404045529649e-34,73.3988899325699
WDR76,-0.330354731803035,2.45111807496101,-15.5193559180317,2.32163333993786e-36,8.80762899404796e-34,72.0159743048985
KIF18A,-0.420699453509669,2.72658991370048,-15.5079827583089,2.51796061407589e-36,9.14925338306441e-34,71.9355577954297
CHEK1,-0.308410143573854,2.80281497299417,-15.5076552072508,2.52385460821368e-36,9.14925338306441e-34,71.9332416887311
DTL,-0.415768501334078,2.98389454165522,-15.4446347078568,3.95787685145573e-36,1.31764989954688e-33,71.4875404195215
CDCA2,-0.315628878690581,2.77677939102599,-15.4291810619225,4.41964867827757e-36,1.44195457777484e-33,71.3782219799857
HELLS,-0.313572145446753,2.59628168457266,-15.4045355888367,5.2702089953084e-36,1.65332537193204e-33,71.2038608050194
DEPDC1B,-0.52051693527416,2.67771454203722,-15.3368392737748,8.54764893423199e-36,2.53523267389321e-33,70.7248003155237
RAD51AP1,-0.382264790994427,3.10645938355139,-15.2713997842655,1.3643786613035e-35,3.97448376818642e-33,70.2615436214789
ATAD2,-0.285841562341486,2.9260508431587,-15.2416953542935,1.68710942589573e-35,4.8012193017397e-33,70.0512091888061
TCF19,-0.326937066546255,2.86093554261673,-15.2400517537539,1.70704787286767e-35,4.8012193017397e-33,70.0395700750217
NEK2,-0.476718387373925,2.83012507842535,-15.1606097913797,3.01242115702472e-35,8.0560043171384e-33,69.4768917683479
CENPL,-0.287692779785628,2.81116464646609,-15.1568603001364,3.09428450175222e-35,8.14146178662644e-33,69.450329248089
DEPDC1,-0.484266594398429,2.73723626883762,-15.0994053034019,4.66679728580462e-35,1.18952287692704e-32,69.0432434186456
CENPH,-0.286134003520222,3.06905030718601,-14.9919137728495,1.00695733551554e-34,2.38065145134276e-32,68.2813590001582
CENPU,-0.343910170236895,2.88451908546752,-14.8797895680947,2.24670313615005e-34,5.09034281389107e-32,67.4862911685395
ASPM,-0.374354740624638,2.5874414470996,-14.7848691862315,4.43310173776281e-34,9.51541955896379e-32,66.8129687905398
NUSAP1,-0.397125445322577,3.0478883958631,-14.7527057674886,5.5813844337316e-34,1.18245615931771e-31,66.5847698795891
