geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
hsa04110	Cell cycle	http://www.kegg.jp/kegg-bin/show_pathway?hsa04110+1017+1021+1029+10926+1111+11200+1869+1870+1871+27127+4085+4171+4172+4173+4174+4175+4176+5111+5347+5591+5933+6502+699+701+7272+8317+8318+890+891+898+9088+9133+9134+9232+9700+983+990+991+993+995	115	40	6.64379851958837	6.02065217391304	0	0	1017;1021;1029;10926;1111;11200;1869;1870;1871;27127;4085;4171;4172;4173;4174;4175;4176;5111;5347;5591;5933;6502;699;701;7272;8317;8318;890;891;898;9088;9133;9134;9232;9700;983;990;991;993;995	CDC6;TTK;BUB1;CHEK1;BUB1B;ESPL1;CCNB2;CCNA2;CDC45;PLK1;CDC20;CDC25A;CDK1;MCM4;CCNB1;MCM6;MAD2L1;CDC25C;MCM2;DBF4;PKMYT1;CDK2;CDC7;E2F2;E2F1;MCM7;RBL1;CCNE1;SKP2;MCM3;CCNE2;MCM5;PCNA;PTTG1;CHEK2;PRKDC;E2F3;SMC1B;CDK6;CDKN2A	pathway_KEGG
hsa03030	DNA replication	http://www.kegg.jp/kegg-bin/show_pathway?hsa03030+1763+2237+23649+3978+4171+4172+4173+4174+4175+4176+5111+5426+5427+5557+5558+5982+5983+5984+5985	33	19	1.90648131431666	9.96600378787879	6.66133814775094e-16	9.9253938401489e-14	1763;2237;23649;3978;4171;4172;4173;4174;4175;4176;5111;5426;5427;5557;5558;5982;5983;5984;5985	MCM4;MCM6;FEN1;RFC4;MCM2;RFC5;POLE2;PRIM1;MCM7;POLA2;RFC3;DNA2;POLE;MCM3;RFC2;PRIM2;MCM5;PCNA;LIG1	pathway_KEGG
hsa03460	Fanconi anemia pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa03460+146956+2175+2177+2187+2189+29089+55215+5888+641+672+675+7398+83990	42	13	2.42643076367575	5.35766369047619	3.48514392900512e-07	3.46190963614508e-05	146956;2175;2177;2187;2189;29089;55215;5888;641;672;675;7398;83990	FANCI;EME1;BRCA1;BRIP1;RAD51;BLM;FANCD2;UBE2T;FANCB;FANCA;FANCG;BRCA2;USP1	pathway_KEGG
hsa03430	Mismatch repair	http://www.kegg.jp/kegg-bin/show_pathway?hsa03430+2956+3978+4436+5111+5982+5983+5984+5985+9156	23	9	1.32875970391767	6.77323369565217	2.5488422799036e-06	0.000189888749852818	2956;3978;4436;5111;5982;5983;5984;5985;9156	EXO1;RFC4;RFC5;RFC3;MSH6;MSH2;RFC2;PCNA;LIG1	pathway_KEGG
hsa03440	Homologous recombination	http://www.kegg.jp/kegg-bin/show_pathway?hsa03440+11073+146956+580+5888+641+672+675+7516+83990+8438	34	10	1.96425347535656	5.09099264705882	1.35968008283527e-05	0.00081036932936982	11073;146956;580;5888;641;672;675;7516;83990;8438	RAD54L;EME1;BRCA1;XRCC2;BRIP1;RAD51;BLM;TOPBP1;BRCA2;BARD1	pathway_KEGG
hsa04115	p53 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04115+1017+1021+1029+1111+11200+51512+5268+5366+6241+891+898+9133+9134+983	66	14	3.81296262863333	3.67168560606061	1.7353397852915e-05	0.000861885426694779	1017;1021;1029;1111;11200;51512;5268;5366;6241;891;898;9133;9134;983	GTSE1;CHEK1;CCNB2;RRM2;CDK1;CCNB1;CDK2;CCNE1;CCNE2;CHEK2;PMAIP1;CDK6;SERPINB5;CDKN2A	pathway_KEGG
hsa05206	MicroRNAs in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05206+1021+1029+10642+113130+1786+1789+1869+1870+1871+2146+2261+3925+5268+5328+6624+672+8091+898+9134+9493+993+995	144	22	8.31919118974544	2.64448784722222	2.16450441050675e-05	0.000921460449044303	1021;1029;10642;113130;1786;1789;1869;1870;1871;2146;2261;3925;5268;5328;6624;672;8091;898;9134;9493;993;995	KIF23;CDCA5;BRCA1;CDC25A;CDC25C;EZH2;E2F2;E2F1;CCNE1;CCNE2;STMN1;DNMT3B;E2F3;DNMT1;IGF2BP1;CDK6;FSCN1;HMGA2;SERPINB5;CDKN2A;PLAU;FGFR3	pathway_KEGG
hsa04114	Oocyte meiosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04114+1017+26271+27127+4085+5347+6790+699+891+898+9088+9133+9134+9232+9700+983+991+995	101	17	5.83498826502979	2.91345915841584	5.44645008266897e-05	0.00202880265579419	1017;26271;27127;4085;5347;6790;699;891;898;9088;9133;9134;9232;9700;983;991;995	BUB1;ESPL1;CCNB2;PLK1;CDC20;CDK1;CCNB1;MAD2L1;CDC25C;PKMYT1;AURKA;CDK2;FBXO5;CCNE1;CCNE2;PTTG1;SMC1B	pathway_KEGG
hsa04218	Cellular senescence	http://www.kegg.jp/kegg-bin/show_pathway?hsa04218+1017+1021+1029+1111+11200+1869+1870+1871+1978+2305+286826+4605+5933+890+891+898+9133+9134+983+993	152	20	8.78136847806463	2.27754934210526	0.000415908323254111	0.0137711867033028	1017;1021;1029;1111;11200;1869;1870;1871;1978;2305;286826;4605;5933;890;891;898;9133;9134;983;993	CHEK1;FOXM1;CCNB2;CCNA2;MYBL2;CDC25A;CDK1;CCNB1;CDK2;E2F2;E2F1;RBL1;CCNE1;CCNE2;LIN9;CHEK2;E2F3;EIF4EBP1;CDK6;CDKN2A	pathway_KEGG
hsa00240	Pyrimidine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00240+1841+23649+5426+5427+5557+5558+6240+6241+7083+7298+7371+790	75	12	4.33291207799242	2.7695	0.00108889048220639	0.0324489363697506	1841;23649;5426;5427;5557;5558;6240;6241;7083;7298;7371;790	RRM2;TYMS;POLE2;PRIM1;POLA2;TK1;POLE;RRM1;PRIM2;DTYMK;CAD;UCK2	pathway_KEGG
GO:0007346	regulation of mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0007346	481	88	26.076885165106	3.37463617463617	0	0	440;641;672;675;699;701;890;891;898;899;983;990;991;993;995;1017;1062;1063;1111;1163;1164;1843;1869;1978;2069;2146;2273;2956;3161;3619;3832;4085;4288;4436;4582;4751;5111;5347;5591;5933;6790;7153;7272;7283;7832;8091;8317;8318;8877;9088;9133;9134;9212;9232;9319;9401;9585;9700;9735;9787;9793;9928;10403;10460;10733;11065;11073;11130;11170;11200;22974;26271;27085;29899;51203;51512;51514;54443;55055;55159;63967;79915;80174;81620;113130;144455;146956;203068	CDC6;TTK;TPX2;BUB1;GTSE1;CDCA5;CHEK1;EME1;BUB1B;KIF11;TOP2A;ESPL1;BRCA1;KIF14;DTL;NEK2;PLK4;DLGAP5;CCNB2;CCNA2;CLSPN;ANLN;NDC80;NUSAP1;CDC45;CENPE;PLK1;ZWINT;CDC20;CDC25A;CDK1;MKI67;CCNB1;CENPF;BLM;AURKB;MAD2L1;CDC25C;TRIP13;CDT1;PKMYT1;HMMR;TACC3;AURKA;CDK2;KIF20B;INCENP;KNTC1;UBE2C;CDC7;FBXO5;EZH2;ZWILCH;E2F1;TOPBP1;MTBP;RBL1;ATAD5;CCNE1;CCNF;DBF4B;RECQL4;E2F7;BRCA2;MSH6;MSH2;CKS1B;CCNE2;RFWD3;PCNA;TUBG1;PTTG1;TUBB;CHEK2;PRKDC;CKAP5;GPSM2;CKS2;EIF4EBP1;ASNS;SPHK1;BTG2;MUC1;FHL1;HMGA2;FAM107A;DUSP1;EREG	geneontology_Biological_Process
GO:0051301	cell division	http://amigo.geneontology.org/amigo/term/GO:0051301	463	99	25.1010349926072	3.94406047516199	0	0	332;641;675;699;701;890;891;898;899;983;990;991;993;995;1017;1021;1058;1062;1063;1163;1164;1894;2069;3070;3619;3832;3833;3925;3978;4085;4751;5347;5901;5933;6469;6790;7153;7443;7704;8091;8317;8914;9055;9133;9134;9212;9232;9493;9585;9700;9735;9793;9918;9928;10051;10112;10376;10403;10460;10592;10615;11004;11065;11130;11200;11339;22974;23310;23397;24137;26271;26586;27338;29127;29899;51203;54443;54821;54892;55055;55143;55165;56241;57405;64151;79980;81620;83461;83540;83990;84790;113130;144455;147841;203068;220134;221150;259266;348235	KIF23;CDC6;KIF4A;NCAPH;KIF2C;SPAG5;TPX2;BUB1;PRC1;CDCA5;BUB1B;NCAPG;CENPA;KIF11;TOP2A;ESPL1;KIF14;CDCA8;NEK2;CCNB2;CCNA2;SKA3;ANLN;NDC80;NUSAP1;KIFC1;RACGAP1;ASPM;SPC25;NCAPG2;CENPE;CDCA3;PLK1;NUF2;ZWINT;SKA1;BRIP1;CEP55;CDC20;CDC25A;CDK1;CCNB1;CENPF;BLM;AURKB;MAD2L1;BIRC5;TIMELESS;CDC25C;KIF20A;ERCC6L;SPC24;OIP5;CDT1;TACC3;AURKA;CDK2;KIF20B;INCENP;KNTC1;UBE2C;HELLS;CDC7;ECT2;FBXO5;ZWILCH;NCAPD2;DSN1;VRK1;RBL1;CCNE1;CCNF;CKAP2;NCAPD3;SMC2;E2F7;BRCA2;CKS1B;UBE2S;CCNE2;TUBA1B;LIG1;PTTG1;STMN1;TUBA1C;TUBB;RAN;CHEK2;SMC4;CKAP5;SKA2;GPSM2;SUSD2;CKS2;SHH;ZBTB16;CDK6;HMGA2;EREG	geneontology_Biological_Process
GO:0044770	cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:0044770	443	99	24.0167570231641	4.12212189616253	0	0	641;672;699;701;890;891;898;983;990;991;993;995;1017;1021;1029;1033;1062;1063;1111;1163;1164;1843;1869;1978;2146;2273;2305;2956;3161;4085;4171;4172;4173;4174;4175;4176;4582;4678;4751;5111;5347;5426;5427;5557;5558;5591;5933;6241;6502;6790;7272;7283;7298;7832;8091;8317;8318;8914;9088;9133;9134;9212;9319;9401;9700;9735;9787;9793;9833;9928;10403;10460;10733;10926;11065;11073;11170;11200;22974;23649;26271;27085;27338;51053;51512;51514;54443;55159;55388;56241;63967;79915;80174;81620;84515;113130;128239;144455;203068	CDC6;TTK;TPX2;BUB1;MCM10;GTSE1;CDCA5;CHEK1;BUB1B;FOXM1;ESPL1;MELK;BRCA1;KIF14;DTL;NEK2;PLK4;DLGAP5;CCNB2;CCNA2;CLSPN;ANLN;NDC80;RRM2;CDC45;CENPE;PLK1;CDC20;CDC25A;CDK1;MCM4;CCNB1;CENPF;BLM;MCM6;AURKB;MAD2L1;TIMELESS;CDC25C;TRIP13;CDKN3;MCM2;DBF4;CDT1;PKMYT1;HMMR;TACC3;AURKA;IQGAP3;TYMS;CDK2;KNTC1;UBE2C;CDC7;FBXO5;EZH2;E2F1;POLE2;TOPBP1;PRIM1;MTBP;MCM7;POLA2;RBL1;ATAD5;CCNE1;DBF4B;MCM8;RECQL4;E2F7;SKP2;POLE;MSH6;CKS1B;UBE2S;MCM3;CCNE2;GMNN;RFWD3;PRIM2;MCM5;PCNA;TUBG1;TUBB;CHEK2;PRKDC;CKAP5;NASP;SUSD2;CKS2;EIF4EBP1;BTG2;MUC1;CDK6;FHL1;HMGA2;FAM107A;DUSP1;CDKN2A	geneontology_Biological_Process
GO:0044772	mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:0044772	416	96	22.552981764416	4.25664335664336	0	0	641;672;699;701;890;891;898;983;990;991;993;995;1017;1021;1029;1033;1062;1063;1163;1164;1843;1869;1978;2146;2273;2305;2956;3161;4085;4171;4172;4173;4174;4175;4176;4582;4678;4751;5111;5347;5426;5427;5557;5558;5591;5933;6241;6502;6790;7272;7283;7298;7832;8091;8317;8318;9088;9133;9134;9212;9319;9401;9700;9735;9787;9793;9833;9928;10403;10460;10733;10926;11065;11073;11170;11200;22974;23649;26271;27085;27338;51053;51512;51514;54443;55159;55388;63967;79915;80174;81620;84515;113130;128239;144455;203068	CDC6;TTK;TPX2;BUB1;MCM10;GTSE1;CDCA5;BUB1B;FOXM1;ESPL1;MELK;BRCA1;KIF14;DTL;NEK2;PLK4;DLGAP5;CCNB2;CCNA2;CLSPN;ANLN;NDC80;RRM2;CDC45;CENPE;PLK1;CDC20;CDC25A;CDK1;MCM4;CCNB1;CENPF;BLM;MCM6;AURKB;MAD2L1;CDC25C;TRIP13;CDKN3;MCM2;DBF4;CDT1;PKMYT1;HMMR;TACC3;AURKA;IQGAP3;TYMS;CDK2;KNTC1;UBE2C;CDC7;FBXO5;EZH2;E2F1;POLE2;TOPBP1;PRIM1;MTBP;MCM7;POLA2;RBL1;ATAD5;CCNE1;DBF4B;MCM8;RECQL4;E2F7;SKP2;POLE;MSH6;CKS1B;UBE2S;MCM3;CCNE2;GMNN;RFWD3;PRIM2;MCM5;PCNA;TUBG1;TUBB;CHEK2;PRKDC;CKAP5;NASP;CKS2;EIF4EBP1;BTG2;MUC1;CDK6;FHL1;HMGA2;FAM107A;DUSP1;CDKN2A	geneontology_Biological_Process
GO:0006281	DNA repair	http://amigo.geneontology.org/amigo/term/GO:0006281	389	66	21.0892065056678	3.12956298200514	0	0	86;580;641;672;675;983;1017;1111;1663;1763;2175;2177;2187;2189;2237;2305;2956;3014;3148;3159;3978;4436;4521;5111;5426;5427;5591;5888;5965;5982;5983;5984;5985;6996;7374;7398;7516;7832;7913;8091;8208;8317;8318;8438;8914;9156;9232;9319;9401;10036;10635;10721;11073;11200;29089;29128;51514;51659;55159;55215;63967;83990;84296;84515;113130;146956	FANCI;RAD54L;EXO1;CDCA5;CHEK1;EME1;FOXM1;BRCA1;DTL;RAD51AP1;CLSPN;CDC45;POLQ;XRCC2;BRIP1;CDK1;UHRF1;RAD51;BLM;FEN1;TIMELESS;FANCD2;RFC4;TRIP13;RFC5;CHAF1A;CDK2;CDC7;CHAF1B;GINS4;UBE2T;FANCB;POLE2;TOPBP1;FANCA;RFC3;GINS2;FANCG;MCM8;DNA2;RECQL4;BRCA2;POLE;UNG;MSH6;MSH2;RFC2;RFWD3;HMGB2;HMGA1;PCNA;BARD1;LIG1;PTTG1;TDG;CHEK2;H2AFX;PRKDC;DEK;USP1;ACTL6A;NUDT1;DDX11;RECQL;BTG2;HMGA2	geneontology_Biological_Process
GO:0000226	microtubule cytoskeleton organization	http://amigo.geneontology.org/amigo/term/GO:0000226	374	64	20.2759980285855	3.15644141954302	0	0	672;675;891;899;983;991;1017;1058;1062;1111;2288;2597;3832;3833;3837;3925;4605;4751;5347;5901;6491;6566;6790;7272;7283;7516;8851;9055;9212;9493;9700;9793;9928;10112;10376;10381;10403;10460;10615;10733;11004;11076;11170;11200;22974;24137;26271;26586;29127;29899;51203;57405;81930;83540;84790;117178;163786;203068;220134;221150;259266;284403;347733;348235	KIF23;TTK;KIF4A;KIF2C;SPAG5;TPX2;PRC1;CHEK1;CENPA;KIF11;ESPL1;BRCA1;KIF14;NEK2;PLK4;SKA3;NDC80;NUSAP1;KIFC1;RACGAP1;ASPM;SPC25;CENPE;PLK1;NUF2;SKA1;STIL;XRCC2;MYBL2;CDC20;CDK1;CCNB1;AURKB;KIF20A;TACC3;AURKA;KIF18A;CDK2;FBXO5;SASS6;CCNF;CKAP2;BRCA2;WDR62;KPNB1;TUBG1;TUBA1B;STMN1;TUBA1C;TUBB;RAN;CHEK2;SSX2IP;CKAP5;SKA2;GPSM2;GAPDH;FKBP4;CDK5R1;SLC16A1;TUBB3;TPPP;FAM107A;TUBB2B	geneontology_Biological_Process
