,logFC,AveExpr,t,P.Value,adj.P.Val,B
KIF23,-2.46802009802,2.99073998395536,-39.6918696550471,4.64140847660778e-121,9.05074652938517e-117,266.093651299783
FANCI,-2.02608902933429,3.55825007548301,-36.9709251365898,2.07634119196771e-113,2.02443266216851e-109,248.557878728547
CDC6,-2.66251918453942,3.38405479571144,-36.7851744984422,7.12641608391634e-113,3.82852222648212e-109,247.329830081439
TTK,-2.53556201912145,2.63962800765582,-36.7705689744924,7.85337892611716e-113,3.82852222648212e-109,247.233097972689
KIF4A,-2.83808288760917,3.40517360014249,-36.6254797703868,2.06396832564886e-112,8.04947647003054e-109,246.270818252245
NCAPH,-2.63938388690472,3.43924341659816,-36.4594045007173,6.25678261072802e-112,2.03345434848661e-108,245.166319923756
KIF2C,-2.81238213668665,3.8806066770095,-35.9816310817043,1.54801103423652e-110,4.31231645251602e-107,241.970707598703
CKAP2L,-2.39103364075491,2.5241477303264,-35.6912658661401,1.10231768509389e-109,2.68689935741635e-106,240.015358603269
KIF18B,-2.69943667729264,2.833227013169,-35.4816681937266,4.57495646539179e-109,9.91240567501553e-106,238.597656273937
RAD54L,-2.34318290155469,2.50937776038515,-35.4030783134024,7.81128416037178e-109,1.5232004112725e-105,238.064725046507
SPAG5,-2.4766975730236,3.88251351709316,-35.3618048908675,1.03482445456374e-108,1.83446153309027e-105,237.784546392238
TPX2,-3.17785294717544,5.02223684013604,-35.3428268257639,1.17776791556546e-108,1.91387286279387e-105,237.655647932308
HJURP,-2.75295348726422,3.27688430405877,-35.0382508600247,9.45018620693372e-108,1.41752793104006e-104,235.581051653443
BUB1,-2.52185660234166,3.3747034650444,-34.988224879929,1.33181095563952e-107,1.81910304978352e-104,235.239234648243
SGO1,-2.05047204661516,2.03504776223971,-34.9810196806119,1.39931003829501e-107,1.81910304978352e-104,235.189978141852
PRC1,-2.35112054250137,3.98589094617511,-34.9213504855004,2.10780652114955e-107,2.56888919765101e-104,234.781823869144
MCM10,-2.44426458616569,2.26864954344577,-34.8617913204899,3.17397891794382e-107,3.64074052352379e-104,234.373992978393
GTSE1,-2.35265863983112,2.84956235815901,-34.8475588127925,3.50036077018706e-107,3.79205750103599e-104,234.276472468417
EXO1,-2.51418917724936,2.64362173957263,-34.7982432197238,4.91458818573509e-107,5.04391945378075e-104,233.938374517082
CDCA5,-2.69193901787402,3.81615189329333,-34.5669872111385,2.42249179182011e-106,2.36192949702461e-103,232.348995465799
CHEK1,-2.09869052611097,2.91982286612202,-34.5068929097513,3.67066294870036e-106,3.40847273807891e-103,231.93491529989
EME1,-1.91199884178624,2.11079728685553,-34.4225842950489,6.58064626875991e-106,5.83284555640083e-103,231.353245448495
BUB1B,-2.52314352948739,3.17952080789185,-34.3424830551932,1.14679463465494e-105,9.72282407642232e-103,230.799801250554
PRR11,-2.56126725079184,3.45298172801229,-34.3038044796011,1.49997120983785e-105,1.21872660799325e-102,230.532278872851
DEPDC1,-2.47690672857523,2.38735216595837,-34.0017151378977,1.22869032192805e-104,9.58378451103875e-102,228.436571851736
NCAPG,-2.59557849008299,3.01018407348838,-33.8524813593951,3.48675606707387e-104,2.6150670503054e-101,227.397155850048
CENPA,-2.68213540582764,2.95374625652884,-33.7371627076378,7.82099254076616e-104,5.64849461277556e-101,226.592085772858
KIF11,-2.37124538419182,3.84580211780507,-33.7105805277736,9.4239744080158e-104,6.56312503415386e-101,226.406276571712
TICRR,-1.77931845361175,1.52568870988287,-33.5839469671389,2.29344171973555e-103,1.54214184602908e-100,225.519914551757
ORC1,-2.29267911836087,2.73335978083224,-33.5603473924199,2.70747441416042e-103,1.75985836920427e-100,225.354512659494
TOP2A,-3.00055693296162,5.30452193971868,-33.5305762375519,3.3383518272199e-103,2.09993098808993e-100,225.145758150987
FOXM1,-2.89109190940271,4.05618849484256,-33.3123029839781,1.55567454218451e-102,9.47989174143687e-100,223.611889670057
ESPL1,-2.33087851066862,2.35718389833094,-32.8854296907951,3.20928233212562e-101,1.89639410534696e-98,220.59507951938
MELK,-2.79346020546718,3.5173053668222,-32.8569478248475,3.93060889963532e-101,2.25431981008496e-98,220.392986641556
BRCA1,-1.99088922583379,2.6038423668273,-32.8310136915562,4.72795331716992e-101,2.6341454195661e-98,220.208883417534
KIF14,-2.24547487675399,2.11675462799469,-32.543054034357,3.69610798392228e-100,2.00205849129124e-97,218.159064864303
CDCA8,-2.44678728306414,4.29558915337756,-32.4879893738534,5.48312136178851e-100,2.88975315013178e-97,217.765913639694
DTL,-2.16210460664435,3.2088435775609,-32.4227319668056,8.75442231796059e-100,4.49240092632188e-97,217.299497885216
NEK2,-2.69664983281202,3.54876219425845,-32.2811264622045,2.42074579951858e-99,1.21037289975929e-96,216.285567066602
PLK4,-2.00864292332835,2.64092186302662,-32.2488851238234,3.05262287808787e-99,1.48815365306784e-96,216.054360482568
DLGAP5,-2.6892800685175,3.42538467212644,-32.2389644860289,3.27851457934459e-99,1.55929351944438e-96,215.98319220057
CCNB2,-2.46994643112643,4.09941711965478,-32.1164604082707,7.92435607910103e-99,3.64892811095721e-96,215.103361591557
CCNA2,-2.56667401190704,4.12709513884738,-32.1143419867107,8.04635429595692e-99,3.64892811095721e-96,215.088130443086
RAD51AP1,-2.29007510776334,3.38153089149709,-32.080414415877,1.02777409959791e-98,4.55490794139982e-96,214.844119419717
AUNIP,-1.93152328843118,1.97507387470041,-32.0284439719734,1.49570798391625e-98,6.48140126363707e-96,214.470062149172
KIF15,-2.06409303867826,2.29491052726642,-31.3451342402504,2.14239065519419e-96,9.08187342962754e-94,209.520382577371
CLSPN,-2.22073620889823,2.17452305630467,-31.2199997644235,5.35153958250056e-96,2.22031961401619e-93,208.607580317922
CIP2A,-2.14131569736928,2.64381492163386,-31.2081785879105,5.83554233169563e-96,2.37068907225135e-93,208.521247823177
SKA3,-2.21695311637689,2.70545155864326,-31.2032055579428,6.05204871203647e-96,2.4084683649941e-93,208.484923489811
CENPI,-1.99326188264798,2.05438030917975,-31.1292225149715,1.04095201235396e-95,4.05971284818043e-93,207.944163159575
ANLN,-2.90516795877783,4.01269714845769,-31.1047249234983,1.2459064941774e-95,4.76376012479595e-93,207.764951988346
NDC80,-2.4666635708322,3.11671544293213,-31.0868265768545,1.42080398647042e-95,5.32801494926408e-93,207.633969444598
NUSAP1,-2.33206182470342,4.73281065732973,-31.0388090889815,2.02148211065838e-95,7.43752852034686e-93,207.282371129522
RRM2,-2.77150085949502,4.58283664358797,-30.9264047005202,4.61994302319325e-95,1.66831275837534e-92,206.458174251556
KIFC1,-2.60942339473711,4.17537179427887,-30.9067236815818,5.34022140126717e-95,1.89335122408563e-92,206.313700449461
CDC45,-2.44467411383009,3.20955568868048,-30.8598594522965,7.54179735896065e-95,2.62616158035237e-92,205.969483977482
