"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82"
"1",1,0,0,0,0,0,0,0.141935483870968,0.345394736842105,0,0,0,0,0,0,0,0,0,0,0.247678018575851,0,0,0,0,0.378378378378378,0.0132013201320132,0.280254777070064,0.853820598006645,0,0.267326732673267,0.00649350649350649,0.72972972972973,0.00328947368421053,0.275,0.0102040816326531,0.34185303514377,0.131832797427653,0,0,0,0.0707395498392283,0,0.0131578947368421,0.564102564102564,0,0,0,0.00326797385620915,0.270903010033445,0,0.00319488817891374,0,0,0.0462046204620462,0,0,0.974763406940063,0.170967741935484,0,0,0.384615384615385,0,0,0.0883280757097792,0,0,0.069620253164557,0.303333333333333,0.00619195046439629,0,0,0,0,0,0,0.00321543408360129,0.00677966101694915,0.846153846153846,0.841935483870968,0.440251572327044,0,0
"2",0,1,0.404388714733542,0.081570996978852,0.321321321321321,0.198142414860681,0.338557993730408,0.0305810397553517,0,0,0.764331210191083,0.00943396226415094,0.0807453416149068,0,0,0.219814241486068,0.855263157894737,0.113149847094801,0.312302839116719,0,0,0,0,0,0,0,0,0,0.0600600600600601,0,0.0152905198776758,0,0.60828025477707,0,0,0,0,0.662420382165605,0,0,0,0.811145510835913,0,0,0,0.699386503067485,0,0,0,0.00613496932515337,0,0.736666666666667,0.0125391849529781,0,0,0.282467532467532,0,0.433333333333333,0.647798742138365,0.243076923076923,0.00321543408360129,0.343465045592705,0.258785942492013,0,0.106918238993711,0,0,0,0,0,0.908536585365854,0.272435897435897,0.666666666666667,0.209375,0.00943396226415094,0,0,0,0,0,0.00328947368421053,0.700315457413249
"3",0,0.404388714733542,1,0.373040752351097,0.70440251572327,0.717105263157895,0.62046204620462,0.00320512820512821,0,0,0.3042071197411,0.058252427184466,0.716171617161716,0,0,0.637540453074434,0.13448275862069,0.288025889967638,0.676470588235294,0,0,0,0.0655737704918033,0,0,0,0,0,0.217532467532468,0,0.025,0,0.0693069306930693,0,0,0,0,0.108474576271186,0.0423452768729642,0,0,0.216393442622951,0,0,0,0.100649350649351,0.012987012987013,0,0,0.0157728706624606,0,0.146258503401361,0.00319488817891374,0,0,0.666666666666667,0,0.0595611285266458,0.129568106312292,0.653465346534653,0,0.628289473684211,0.663333333333333,0,0.539735099337748,0,0,0,0,0,0.407051282051282,0.658862876254181,0.0596026490066225,0.640625,0.0808080808080808,0,0.0680272108843537,0,0,0,0.0648464163822526,0.275641025641026
"4",0,0.081570996978852,0.373040752351097,1,0.543543543543544,0.632258064516129,0.536741214057508,0,0,0,0.00311526479750779,0.473846153846154,0.542857142857143,0,0,0.582554517133956,0.00977198697068404,0.209230769230769,0.493630573248408,0,0,0,0.00304878048780488,0.00307692307692308,0,0.0222929936305732,0.00309597523219814,0,0.0212121212121212,0,0.0900621118012422,0,0,0,0,0,0,0.0222222222222222,0,0,0,0.00630914826498423,0.0255591054313099,0,0,0.11875,0,0,0,0.0248447204968944,0.0453172205438066,0.0202020202020202,0.396825396825397,0,0.00319488817891374,0.550819672131148,0,0,0.185897435897436,0.563467492260062,0,0.54320987654321,0.553398058252427,0.0246153846153846,0.705329153605016,0.00638977635782748,0,0,0.0181818181818182,0,0.0363636363636364,0.583870967741935,0.00955414012738853,0.578125,0.475,0.00309597523219814,0.115894039735099,0,0.00308641975308642,0.00309597523219814,0.361290322580645,0.155763239875389
"5",0,0.321321321321321,0.70440251572327,0.543543543543544,1,0.96594427244582,0.905362776025237,0,0,0,0.0489296636085627,0.0813253012048193,0.687306501547988,0,0,0.92,0.174454828660436,0.386706948640483,0.981308411214953,0,0,0,0,0,0,0,0,0,0.00895522388059702,0,0,0,0.0745341614906832,0,0,0,0,0.177018633540373,0,0,0,0.285276073619632,0,0,0,0.338323353293413,0,0,0,0.0211480362537764,0.0029940119760479,0.237942122186495,0.0152439024390244,0,0,0.935691318327974,0,0.116766467065868,0.122257053291536,0.917682926829268,0,0.912650602409639,0.930817610062893,0,0.72360248447205,0,0,0,0,0,0.188059701492537,0.949685534591195,0.160990712074303,0.902439024390244,0.102484472049689,0,0,0,0,0,0.0668789808917197,0.362537764350453
"6",0,0.198142414860681,0.717105263157895,0.632258064516129,0.96594427244582,1,0.983443708609272,0,0,0,0.00319488817891374,0.0751633986928105,0.816129032258065,0,0,0.987179487179487,0.0952380952380952,0.407407407407407,0.954248366013072,0,0,0,0,0,0,0,0,0,0.00319488817891374,0,0,0,0.0163934426229508,0,0,0,0,0.131147540983607,0,0,0,0.144230769230769,0,0,0,0.220779220779221,0,0,0,0.0349206349206349,0.00309597523219814,0.149152542372881,0.0127388535031847,0,0,1,0,0.0529595015576324,0.0858085808580858,0.981012658227848,0,0.990476190476191,0.99672131147541,0,0.87378640776699,0,0,0,0,0,0.132307692307692,1,0.0947712418300654,0.984276729559748,0.117263843648208,0,0,0,0,0,0.076158940397351,0.300319488817891
"7",0,0.338557993730408,0.62046204620462,0.536741214057508,0.905362776025237,0.983443708609272,1,0.00632911392405063,0,0,0.0651465798045603,0.0626959247648903,0.623003194888179,0,0,0.885714285714286,0.183946488294314,0.375,0.882736156351791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918032786885246,0,0,0,0,0.194174757281553,0,0,0,0.272727272727273,0,0,0,0.361904761904762,0,0,0,0.03125,0.00320512820512821,0.26643598615917,0.0223642172523962,0,0,0.917525773195876,0,0.105919003115265,0.144736842105263,0.838607594936709,0,0.990506329113924,0.92948717948718,0,0.75,0,0,0,0,0,0.195652173913043,0.939799331103679,0.177993527508091,0.879478827361563,0.0996677740863787,0,0,0,0,0,0.0566666666666667,0.280130293159609
"8",0.141935483870968,0.0305810397553517,0.00320512820512821,0,0,0,0.00632911392405063,1,0,0,0.0501567398119122,0.00613496932515337,0,0,0.170212765957447,0.00305810397553517,0.0553745928338762,0,0,0,0,0.401253918495298,0,0.873417721518987,0.00318471337579618,0.634069400630915,0,0.0727848101265823,0,0,0,0,0.161392405063291,0,0,0,0,0.120634920634921,0,0.0250783699059561,0.752411575562701,0.0877742946708464,0.481012658227848,0.191222570532915,0.00940438871473354,0.0395136778115502,0,0,0.0483870967741935,0.00305810397553517,0.00623052959501558,0.0903010033444816,0.0285714285714286,0.43042071197411,0.00638977635782748,0,0.218461538461538,0.370820668693009,0.0377358490566038,0.00619195046439629,0.0443037974683544,0,0,0,0,0.39622641509434,0,0,0.721556886227545,0,0.0392749244712991,0,0.123076923076923,0,0.0127388535031847,0.00304878048780488,0,0.110410094637224,0.043343653250774,0,0,0.0376175548589342
"9",0.345394736842105,0,0,0,0,0,0,0,1,0,0,0,0,0.00323624595469256,0,0,0,0,0,0.916932907348243,0,0,0,0,0.00996677740863787,0.0360655737704918,0.838709677419355,0.463576158940397,0,0.973684210526316,0.0313479623824451,0.496621621621622,0,0.984025559105431,0.0166666666666667,0.996825396825397,0.00327868852459016,0,0,0,0.198019801980198,0,0.0261437908496732,0.866449511400652,0.00321543408360129,0,0,0.00641025641025641,0.973421926910299,0,0.0032258064516129,0,0,0.00327868852459016,0.00326797385620915,0,0.306451612903226,0,0,0,0,0,0,0.239747634069401,0,0.00319488817891374,0.403785488958991,0.996732026143791,0.0186335403726708,0,0,0,0,0,0,0.015625,0,0.267100977198697,0.495297805642633,0,0,0
"10",0,0,0,0,0,0,0,0,0,1,0,0,0.0247678018575851,0.0828220858895705,0,0,0,0,0,0,0.856687898089172,0.0314465408805031,0.151702786377709,0,0.0571428571428571,0,0.018348623853211,0,0.0332326283987915,0,0.00925925925925926,0,0.025,0.00928792569659443,0.282467532467532,0,0.553459119496855,0,0.0928792569659443,0.335384615384615,0,0,0,0,0.303951367781155,0,0.101910828025478,0.690851735015773,0.00324675324675325,0.389057750759878,0,0,0,0.00321543408360129,0,0,0,0,0,0,0.438095238095238,0,0,0.605504587155963,0,0,0.273846153846154,0,0,0.0978593272171254,0,0,0,0,0,0.526153846153846,0.63961038961039,0,0.027190332326284,0.4375,0,0
"11",0,0.764331210191083,0.3042071197411,0.00311526479750779,0.0489296636085627,0.00319488817891374,0.0651465798045603,0.0501567398119122,0,0,1,0,0.0592105263157895,0.00967741935483871,0,0.0376175548589342,0.86,0.003125,0.0746753246753247,0,0,0.136807817589577,0.00647249190938511,0.0216049382716049,0,0.00319488817891374,0,0,0.121875,0,0.029126213592233,0,0.725490196078431,0,0.00333333333333333,0,0,0.705128205128205,0.00970873786407767,0.107936507936508,0,0.665584415584416,0.00974025974025974,0,0.059748427672956,0.594936708860759,0.00946372239747634,0,0,0.0543130990415335,0,0.678082191780822,0,0.0924092409240924,0,0.0167224080267559,0,0.501557632398754,0.696078431372549,0.113207547169811,0.0296052631578947,0.0630914826498423,0.0130293159609121,0,0,0.00320512820512821,0,0,0.033434650455927,0.0125391849529781,0.890243902439024,0.0228758169934641,0.73482428115016,0.0451612903225806,0,0.059190031152648,0.00673400673400673,0,0,0,0,0.641269841269841
"12",0,0.00943396226415094,0.058252427184466,0.473846153846154,0.0813253012048193,0.0751633986928105,0.0626959247648903,0.00613496932515337,0,0,0,1,0.104430379746835,0,0,0.0875,0.00334448160535117,0.667701863354037,0.0791139240506329,0,0,0,0,0,0,0,0,0,0.0282131661442006,0,0.00315457413249211,0,0.012779552715655,0,0,0,0,0.021875,0,0,0,0.00958466453674121,0,0,0.0250783699059561,0.0572289156626506,0.00946372239747634,0,0.00657894736842105,0.00309597523219814,0,0.0169491525423729,0.962264150943396,0,0,0.0754098360655738,0,0.0186915887850467,0.226114649681529,0.078125,0,0.0716510903426791,0.0764331210191083,0.009375,0.264797507788162,0,0,0,0.0184049079754601,0,0.00609756097560976,0.0870967741935484,0.0222222222222222,0.08125,0.977491961414791,0,0.150819672131148,0,0,0.0031055900621118,0.986842105263158,0.0246913580246914
"13",0,0.0807453416149068,0.716171617161716,0.542857142857143,0.687306501547988,0.816129032258065,0.623003194888179,0,0,0.0247678018575851,0.0592105263157895,0.104430379746835,1,0.0191693290734824,0,0.730407523510972,0.0166666666666667,0.310344827586207,0.647058823529412,0.00617283950617284,0.0284810126582278,0,0.154088050314465,0,0.00673400673400673,0,0,0,0.233438485804416,0,0.0723270440251572,0,0,0.00308641975308642,0.0794701986754967,0,0.0647249190938511,0.0196078431372549,0.129449838187702,0,0,0.00967741935483871,0,0,0.0284810126582278,0.0788643533123028,0.0521172638436482,0.0634920634920635,0,0.0250783699059561,0,0.0273037542662116,0.0385852090032154,0,0,0.686274509803922,0,0,0.0555555555555556,0.710191082802548,0.0132013201320132,0.641104294478528,0.717532467532468,0.021671826625387,0.71474358974359,0,0.0564263322884013,0,0,0.03125,0.115625,0.721476510067114,0.00952380952380952,0.726415094339623,0.129746835443038,0,0.121951219512195,0.0192307692307692,0,0.0126582278481013,0.0841750841750842,0.282051282051282
"14",0,0,0,0,0,0,0,0,0.00323624595469256,0.0828220858895705,0.00967741935483871,0,0.0191693290734824,1,0.283489096573209,0,0,0.00946372239747634,0,0.00611620795107034,0.156549520766773,0.00311526479750779,0.636085626911315,0.0846394984326019,0.059016393442623,0.060126582278481,0,0,0.596923076923077,0,0.33641975308642,0.00328947368421053,0,0.0153846153846154,0.418006430868167,0,0.181818181818182,0,0.726114649681529,0,0.00970873786407767,0,0.00319488817891374,0,0.0888888888888889,0,0.745980707395498,0.185303514376997,0.00657894736842105,0.0277777777777778,0.173374613003096,0,0,0,0.1875,0,0,0,0,0,0.0487012987012987,0,0,0,0,0.342948717948718,0.159509202453988,0,0,0.733542319749216,0,0,0,0,0,0.0093167701863354,0.142384105960265,0,0,0.0841121495327103,0.00327868852459016,0
"15",0,0,0,0,0,0,0,0.170212765957447,0,0,0,0,0,0.283489096573209,1,0,0,0,0,0.0364741641337386,0,0.0815047021943574,0.00306748466257669,0.32398753894081,0.60586319218241,0.248427672955975,0,0,0,0.012779552715655,0.275541795665635,0.0231023102310231,0,0.027355623100304,0.0480769230769231,0.00305810397553517,0.0186915887850467,0,0,0.00604229607250755,0.280757097791798,0,0.137931034482759,0,0.0031055900621118,0,0.00305810397553517,0.0255591054313099,0.0448717948717949,0.00305810397553517,0.769938650306748,0,0,0.0817610062893082,0.878980891719745,0,0,0,0,0,0,0,0,0,0,0.71875,0.0396341463414634,0,0.159763313609467,0.104294478527607,0,0,0.00315457413249211,0,0,0,0,0.0186915887850467,0,0,0,0
"16",0,0.219814241486068,0.637540453074434,0.582554517133956,0.92,0.987179487179487,0.885714285714286,0.00305810397553517,0,0,0.0376175548589342,0.0875,0.730407523510972,0,0,1,0.156146179401993,0.407407407407407,0.897435897435897,0,0,0,0,0,0,0,0,0,0.0124223602484472,0,0,0,0.0548387096774194,0,0,0,0,0.167741935483871,0,0,0,0.161904761904762,0,0,0,0.29375,0,0,0,0.034375,0.00313479623824451,0.193333333333333,0.00946372239747634,0,0,0.98,0,0.0838509316770186,0.136942675159236,0.941717791411043,0,0.899686520376176,0.967948717948718,0,0.804416403785489,0,0,0,0,0,0.160606060606061,0.980769230769231,0.134615384615385,0.996815286624204,0.0967741935483871,0,0,0,0,0,0.0779220779220779,0.40625
"17",0,0.855263157894737,0.13448275862069,0.00977198697068404,0.174454828660436,0.0952380952380952,0.183946488294314,0.0553745928338762,0,0,0.86,0.00334448160535117,0.0166666666666667,0,0,0.156146179401993,1,0.0418006430868167,0.221476510067114,0,0,0,0,0,0,0,0,0,0.00986842105263158,0,0,0,0.911262798634812,0,0,0,0,0.963087248322148,0,0,0,0.939189189189189,0,0,0,0.824104234527687,0,0,0,0.00651465798045603,0.00327868852459016,0.971119133574007,0,0,0,0.143859649122807,0,0.667752442996743,0.910344827586207,0.234323432343234,0.00662251655629139,0.162790697674419,0.135593220338983,0,0.00334448160535117,0,0,0,0,0,0.911764705882353,0.124567474048443,0.963210702341137,0.158415841584158,0.0033112582781457,0,0,0,0,0,0.00352112676056338,0.894389438943894
