Tag	Sample	Cluster
GSM1465989	GSM1465989	C1
GSM1465991	GSM1465991	C2
GSM1465992	GSM1465992	C3
GSM1465993	GSM1465993	C3
GSM1465994	GSM1465994	C3
GSM1465995	GSM1465995	C1
GSM1465996	GSM1465996	C2
GSM1465997	GSM1465997	C2
GSM1465998	GSM1465998	C3
GSM1465999	GSM1465999	C2
GSM748053	GSM748053	C1
GSM748054	GSM748054	C1
GSM748055	GSM748055	C1
GSM748056	GSM748056	C1
GSM748057	GSM748057	C1
GSM748058	GSM748058	C1
GSM748059	GSM748059	C2
GSM748061	GSM748061	C3
GSM748062	GSM748062	C1
GSM748063	GSM748063	C2
GSM748064	GSM748064	C1
GSM748065	GSM748065	C3
GSM748066	GSM748066	C3
GSM748067	GSM748067	C2
GSM748068	GSM748068	C3
GSM748069	GSM748069	C1
GSM748071	GSM748071	C1
GSM748072	GSM748072	C2
GSM748073	GSM748073	C1
GSM748074	GSM748074	C1
GSM748075	GSM748075	C1
GSM748076	GSM748076	C3
GSM748077	GSM748077	C1
GSM748078	GSM748078	C1
GSM748079	GSM748079	C1
GSM748080	GSM748080	C1
GSM748081	GSM748081	C1
GSM748083	GSM748083	C1
GSM748084	GSM748084	C1
GSM748085	GSM748085	C1
GSM748086	GSM748086	C1
GSM748087	GSM748087	C1
GSM748088	GSM748088	C3
GSM748089	GSM748089	C1
GSM748090	GSM748090	C1
GSM748091	GSM748091	C2
GSM748092	GSM748092	C2
GSM748093	GSM748093	C1
GSM748094	GSM748094	C1
GSM748095	GSM748095	C1
GSM748096	GSM748096	C1
GSM748097	GSM748097	C3
GSM748098	GSM748098	C3
GSM748099	GSM748099	C1
GSM748100	GSM748100	C1
GSM748101	GSM748101	C1
GSM748102	GSM748102	C1
GSM748103	GSM748103	C1
GSM748104	GSM748104	C1
GSM748105	GSM748105	C1
GSM748106	GSM748106	C3
GSM748108	GSM748108	C1
GSM748109	GSM748109	C1
GSM748110	GSM748110	C3
GSM748111	GSM748111	C1
GSM748112	GSM748112	C3
GSM748113	GSM748113	C2
GSM748115	GSM748115	C3
GSM748116	GSM748116	C1
GSM748117	GSM748117	C3
GSM748119	GSM748119	C3
GSM748120	GSM748120	C3
