"","Freq","Genes"
"TTN",298,"TTN"
"CSMD3",177,"CSMD3"
"RYR2",173,"RYR2"
"MUC16",171,"MUC16"
"USH2A",133,"USH2A"
"LRP1B",129,"LRP1B"
"TP53",126,"TP53"
"ZFHX4",120,"ZFHX4"
"FLG",98,"FLG"
"SPTA1",93,"SPTA1"
"XIRP2",90,"XIRP2"
"FAT3",84,"FAT3"
"KRAS",81,"KRAS"
"PCDH15",75,"PCDH15"
"MUC17",71,"MUC17"
"PAPPA2",65,"PAPPA2"
"TNR",64,"TNR"
"ZNF536",64,"ZNF536"
"RP1L1",63,"RP1L1"
"RYR3",63,"RYR3"
"ADAMTS12",62,"ADAMTS12"
"COL11A1",61,"COL11A1"
"NAV3",58,"NAV3"
"KEAP1",57,"KEAP1"
"NPAP1",57,"NPAP1"
"ANK2",56,"ANK2"
"CSMD1",56,"CSMD1"
"DMD",55,"DMD"
"DNAH9",54,"DNAH9"
"PCDH11X",54,"PCDH11X"
"CACNA1E",53,"CACNA1E"
"PTPRD",53,"PTPRD"
"ADGRG4",50,"ADGRG4"
"FAT4",50,"FAT4"
"NALCN",50,"NALCN"
"PCLO",50,"PCLO"
"SI",50,"SI"
"CDH10",49,"CDH10"
"CSMD2",48,"CSMD2"
"PXDNL",48,"PXDNL"
"STK11",47,"STK11"
"LRRC7",46,"LRRC7"
"RYR1",46,"RYR1"
"AHNAK2",45,"AHNAK2"
"APOB",45,"APOB"
"ERICH3",45,"ERICH3"
"OBSCN",45,"OBSCN"
"ASTN1",44,"ASTN1"
"EGFR",44,"EGFR"
"SORCS1",44,"SORCS1"
"FAM135B",43,"FAM135B"
"HMCN1",43,"HMCN1"
"NRXN1",43,"NRXN1"
"ZNF804A",43,"ZNF804A"
"FBN2",42,"FBN2"
"HERC2",42,"HERC2"
"MXRA5",42,"MXRA5"
"PEG3",42,"PEG3"
"VCAN",42,"VCAN"
"SYNE1",41,"SYNE1"
"BRINP3",40,"BRINP3"
"DNAH8",40,"DNAH8"
"ADGRL3",39,"ADGRL3"
"ASPM",39,"ASPM"
"MUC5B",39,"MUC5B"
"MYH1",39,"MYH1"
"NEB",39,"NEB"
"PKHD1",39,"PKHD1"
"AHNAK",38,"AHNAK"
"MYH2",38,"MYH2"
"NF1",38,"NF1"
"RELN",38,"RELN"
"ABCA13",37,"ABCA13"
"COL12A1",37,"COL12A1"
"DNAH5",37,"DNAH5"
"DOCK2",37,"DOCK2"
"FLG2",37,"FLG2"
"PRDM9",37,"PRDM9"
"PRUNE2",37,"PRUNE2"
"RIMS2",37,"RIMS2"
"TG",37,"TG"
"ADGRV1",36,"ADGRV1"
"CUBN",36,"CUBN"
"NLRP3",36,"NLRP3"
"PCDH10",36,"PCDH10"
"SNTG1",36,"SNTG1"
"SYNE2",36,"SYNE2"
"TLR4",36,"TLR4"
"UNC79",36,"UNC79"
"CNTNAP2",35,"CNTNAP2"
"COL6A3",35,"COL6A3"
"CTNNA2",35,"CTNNA2"
"PKHD1L1",34,"PKHD1L1"
"CNTNAP5",33,"CNTNAP5"
"DST",33,"DST"
"HRNR",33,"HRNR"
"LRP2",33,"LRP2"
"SVEP1",33,"SVEP1"
"TSHZ3",33,"TSHZ3"
"ZNF804B",33,"ZNF804B"
"ANKRD30A",32,"ANKRD30A"
"ASXL3",32,"ASXL3"
"CDH9",32,"CDH9"
"F8",32,"F8"
"MROH2B",32,"MROH2B"
"MYH8",32,"MYH8"
"NCKAP5",32,"NCKAP5"
"PTPRT",32,"PTPRT"
"ADAMTS20",31,"ADAMTS20"
"COL3A1",31,"COL3A1"
"PKD1L1",31,"PKD1L1"
"SPATA31A6",31,"SPATA31A6"
"SPATA31D1",31,"SPATA31D1"
"TNN",31,"TNN"
"TRPS1",31,"TRPS1"
"UNC13C",31,"UNC13C"
"BIRC6",30,"BIRC6"
"COL22A1",30,"COL22A1"
"CRB1",30,"CRB1"
"DSCAM",30,"DSCAM"
"EPHA3",30,"EPHA3"
"EPHA5",30,"EPHA5"
"FAM47A",30,"FAM47A"
"FAT2",30,"FAT2"
"HCN1",30,"HCN1"
"HYDIN",30,"HYDIN"
"LAMA1",30,"LAMA1"
"LAMA2",30,"LAMA2"
"MYH7",30,"MYH7"
"SETBP1",30,"SETBP1"
"ADGRB3",29,"ADGRB3"
"COL5A2",29,"COL5A2"
"COL6A6",29,"COL6A6"
"HECW1",29,"HECW1"
"LPA",29,"LPA"
"SLITRK1",29,"SLITRK1"
"TAF1L",29,"TAF1L"
